yearmonth	actor1	actor2	impressionVal	accumulativeVal	deepVal	windowMeanVal	meanVal	interactionVal
200003	CHN	USA	1.6639566011915994	1.608775387866936	1.042918134037019	1.2651186112805473	1.2071713147410343	4.957380094091932
200004	CHN	USA	1.3779866899346909	1.335837642000502	0.7142646031491044	1.009136616492583	0.9046908315565031	4.492557443156453
200005	CHN	USA	2.179791274063651	1.4660892164933297	1.6197132878255194	1.2949493094293523	1.772985781990519	3.1730992621928626
200006	CHN	USA	1.8205881133020654	0.2418712668148604	0.8986890614139931	1.2823761035583197	1.1694516971279367	1.5920416679633436
200007	CHN	USA	1.4305472586685044	0.2572631378441643	0.6809993616962696	1.275291020646847	0.8834355828220852	3.2522844612045314
200008	CHN	USA	1.6353708540178127	0.16419773412034713	1.0895770693584954	1.0973153678264767	1.2390588235294078	2.592352052838441
200009	CHN	USA	1.8408707031474845	0.15916771895023213	1.1663871165503386	1.1610655824962042	1.3607023411371197	4.636754451231724
200010	CHN	USA	2.9333814173739987	2.530932524670006	2.160341277599592	1.6596482793786376	2.3791836734693854	0.39075760383612734
200011	CHN	USA	3.014000515160739	2.748176230317753	1.7592544051642327	1.955150785882858	2.125566343042069	0.8313364381340628
200012	CHN	USA	2.106267904205678	4.049458093471422	0.8453380885683728	1.9003121523964737	1.1961864406779663	0.6090950259599957
200101	CHN	USA	1.8552124893880664	3.021750949066307	1.050999180509178	1.5287137576428895	1.2643884892086332	0.6631439289523958
200102	CHN	USA	1.3184117247209803	3.4359194071329315	0.5946974121159181	1.0865110877399775	0.7989583333333328	1.1569645633169197
200103	CHN	USA	1.6833881132356783	2.135832429677174	1.1649175820673583	1.1225477593220816	1.3042964554242789	13.749561958143474
200104	CHN	USA	1.524807916293067	0.7763832758486794	0.8305664031009299	1.0452373724649486	1.0324573286372336	496.6259667069533
200105	CHN	USA	0.9330252161889869	0.05944754592798296	0.30267223143758637	0.9376192267218023	0.4761038961038944	20.86389733660971
200106	CHN	USA	1.9320382984382147	0.06062950353864745	1.5895232802935384	1.0622655062862574	1.6782352941176442	2.009007772091967
200107	CHN	USA	1.5220766262535252	0.06117013268902275	0.6951763147223645	1.0327002763184137	0.9437616387337021	21.950994929810076
200108	CHN	USA	1.7420853458990933	0.17901954180574767	1.107434628902597	1.299271704889842	1.27581818181818	4.267421186048333
200109	CHN	USA	2.059834030977849	0.181150627532904	1.36123717716459	1.2605295180587779	1.5620087336244517	8.794567306094631
200110	CHN	USA	2.3814540215329445	0.3723245328107758	1.511673650480903	1.532582862153636	1.7599216710182761	4.1094188930330775
200111	CHN	USA	2.669768221753175	2.280592439292496	1.6748047803380843	1.7596538848809091	1.9570312499999996	0.23485983397717905
200112	CHN	USA	2.579055972600569	2.533173894160069	1.4698950261392292	1.8337163687681255	1.7841961852861012	0.9518937826790111
200201	CHN	USA	2.5866644700022	2.3659940059470914	1.5330593865985056	1.855992135493171	1.8267489711934117	2.0099173239797454
200202	CHN	USA	3.0513484803695965	0.5558104761706322	1.9990155396008045	1.968735090695483	2.2952601156069368	15.502268775838724
200203	CHN	USA	1.0931772952601115	0.43555208836897236	-0.1791328485445006	1.435562168718396	0.18467741935483953	1.475110898544405
200204	CHN	USA	2.2925155112976996	0.6590789057367142	1.9317715450215147	1.494842302314149	2.0045893719806704	2.2290135795040804
200205	CHN	USA	2.4116768863994187	0.3871469439278118	1.4701603257183282	1.316189705638967	1.7593023255813909	2.1705642306332873
200206	CHN	USA	2.3457439049829887	0.40855443420481113	1.2978353414308517	1.7842788070600506	1.5889447236180907	0.35576726183366786
200207	CHN	USA	2.21786454820305	0.16048667254039717	1.277582705336815	1.629237641523467	1.53946587537092	1.1368963659831448
200208	CHN	USA	2.3265422856915734	0.3859495567144491	1.4294403620364435	1.603078852563691	1.680825958702062	1.2168667561770166
200209	CHN	USA	1.8552929107276546	0.22684152211984399	0.8993140203483287	1.463371439760027	1.1698224852070995	1.2989400856059983
200210	CHN	USA	2.525532947003513	0.42557036954314437	1.7868990644330507	1.6127228146363872	1.9875200000000004	10.492173178779158
